CATÉGORIE D'ÉVÉNEMENT	GROUPE D'ÉVÉNEMENT	SOUS-GROUPE D'ÉVÉNEMENT	TYPE D'ÉVÉNEMENT	ENDROIT	DATE DU DÉBUT DE L'ÉVÉNEMENT	COMMENTAIRES	VICTIMES	BLESSÉS / INFECTÉS	ÉVACUÉS	COÛT TOTAL ESTIMÉ	COÛT TOTAL NORMALIZE	DATE DE FIN DE L'ÉVÉNEMENT	PAIEMENTS FÉDÉRAUX DES AAFCC	PAIEMENTS PROVINCIAUX DES AAFCC	PAIEMENTS DES DÉPARTEMENTS PROVINCIAUX	COÛTS MUNICIPAUX	COÛTS D'AMG	PAIEMENTS D'ASSURANCE	PAIEMENTS D'O.N.G.	SERVICES PUBLICS - PERSONNES AFFECTÉES	MAGNITUDE	
Désastre	Naturel	Météorologique - hydrologique	Ouragan / ouragan / tempête tropicale	Nouvelle-Écosse	04/09/2010 12:00:00 AM	Nouvelle-Écosse, le 4 septembre 2010. L’ouragan de catégorie 1 Earl a touché les côtes à 35 kilomètres au sud-ouest de Liverpool, accompagné de vents atteignant jusqu’à 135 km/h. La tempête a touché terre à 10 h 30 HAA, et certains secteurs de la Nouvelle-Écosse ont reçu jusqu’à 75 mm de pluie. Les forts vents produits par la tempête ont creusé des vagues de 23 mètres de haut et ont déraciné des arbres qui ont arraché des lignes électriques, ce qui a privé d’électricité 200 000 clients de Nova Scotia Power (soit environ 600 000 personnes). Des dommages importants se sont également produits dans le port de Halifax et sur les routes dans les provinces de Terre-Neuve-et-Labrador et de la Nouvelle-Écosse en raison d’arbres déracinés et de débris. Une personne s’est noyée à l’ouest de Halifax en essayant de récupérer un bateau qui s’était détaché de son point d’ancrage. Il a été précisé que l’homme portait un gilet de sauvetage à cet instant, mais qu’il n’avait pas été en mesure de nager jusqu’à la rive. Le Bureau de gestion des urgences de la Nouvelle-Écosse a considéré que le décès de cet homme était dû à la tempête.	1			0.0000	0.0	04/09/2010 12:00:00 AM								600000		
Désastre	Naturel	Météorologique - hydrologique	Inondation	Meat Cove (N.-É.)	21/08/2010 12:00:00 AM	Meat Cove (N.-É.), les 21 et 22 août 2010. Une crue éclair a frappé la petite collectivité de Meat Cove dans la matinée du 22 août. Les cinq ponts locaux ont subi d’importants dommages, y compris deux ponts qui ont été complètement emportés par la crue des eaux. Les routes locales ont été inondées et ont subi des dommages, y compris la route principale qui relie la petite collectivité de pêcheurs au reste de la province, ce qui fait que 100 résidences et 26 touristes se sont retrouvés isolés. Environnement Canada a fait état de précipitations atteignant 69,8 mm dans ce secteur. Les agents du Bureau de gestion des urgences ont œuvré de concert avec la Gendarmerie royale du Canada, les services d’urgences de santé, la Croix-Rouge canadienne et d’autres intervenants afin de fournir des services d’urgence aux personnes visées. L’accès au secteur a été limité aux embarcations jusqu’au 30 août, date à laquelle un pont temporaire a été mis en place sur la rivière Salmon.	0	0	126	3135000.0000	161459.2	22/08/2010 12:00:00 AM	3135000.0000							0	0.0	
Désastre	Naturel	Météorologique - hydrologique	Feu de forêt	Colombie-Britannique	28/07/2010 12:00:00 AM	Colombie-Britannique, de 28 juillet à 8 septembre, 2010. En raison des faibles précipitations et des épisodes orageux, le nombre d’incendies est passé de 600 à 1 100 entre le 28 et le 31 juillet en Colombie-Britannique. Le 18 août, des vents violents ont soufflé sur le centre de la province, ce qui a intensifié les incendies. Tout au long de la saison des feux de forêt, environ 461 résidences (soit 1 383 personnes) ont été évacuées, et des centaines d’autres maisons ont été mises en état d’alerte pour une évacuation. Les zones les plus touchées étaient Chilcotin, Houston, Williams Lake, Burns Lake et Fraser Lake. Tous les ordres d’évacuation et les alertes ont été levés au plus tard la première semaine de septembre. Environ 330 000 hectares de terres ont brûlé, par le fait de 1 673 incendies. Plus de 1 400 membres du personnel originaires de l’extérieur de la province sont venus prêter main-forte pour lutter contre ces incendies. Deux pilotes de bombardier à eau sont morts dans un accident d’avion alors qu’ils luttaient contre les incendies. La Ville de Vancouver et le gouvernement de l’Alberta ont tous deux émis des avertissements quant à la qualité de l’air en raison de la fumée causée par les incendies.	2	0	1383	257339000.0000	13253510.7	08/09/2010 12:00:00 AM	37339000.0000		220000000.0000					0	0.0	
Désastre	Naturel	Météorologique - hydrologique	Orages et orages graves	North Battleford (SK)	22/07/2010 12:00:00 AM	North Battleford (SK), 22 juillet 2010. De fortes et soudaines averses de pluie ont causé de vastes inondations dans la localité de North Battleford. Un état d’urgence local a été déclaré et quatre-vingt dix-sept habitations ont été inondées. La Croix-Rouge a fourni de la nourriture et un gîte à 45 membres de 11 familles.	0	0	45	112000.0000	5768.2	22/07/2010 12:00:00 AM	112000.0000							0	0.0	
Désastre	Naturel	Météorologique - hydrologique	Tempête-non précisée/autre	Calgary (AB)	12/07/2010 12:00:00 AM	Calgary (AB), le 12 juillet 2010. Une tempête de grêle massive de 30 minutes a frappé la ville de Calgary le 12 juillet. Le diamètre des grêlons variait grandement, allant de 4 cm à la grosseur d’une balle de baseball. En plus de la grêle, la tempête était accompagnée de fortes pluies, de fortes rafales, d’éclairs et de tonnerre. La tempête a causé de nombreux dommages dans toute la ville et la grêle a brisé des fenêtres, endommagé des voitures et détruit des récoltes. La tempête de grêle a décimé plus de 90 000 hectares de terres cultivées près de Strathmore et de Hussar. Les demandes d’indemnisation pour les dommages causés aux récoltes ont été estimées à 18,5 millions de dollars. Au total, la valeur estimée des demandes d’indemnisation s’élevait à environ 400 millions de dollars, ce qui en a fait la tempête de grêle la plus coûteuse du Canada.	0	0	0	400000000.0000	20600858.4	12/07/2010 12:00:00 AM						400000000.0000				
Désastre	Naturel	Météorologique - hydrologique	Tornade	Saskatchewan	29/06/2010 12:00:00 AM	Sastachewan, du 29 juin au 2 juillet 2010. Saskatoon a subi des conditions météorologiques violentes le 29 juin. Le lendemain, de nombreuses municipalités, de Prince Albert à Davidson, ont été frappées par de fortes pluies. Le 1er juillet, la tempête s’est déplacée vers le sud, tandis qu’un autre système est descendu du nord. Le 2 juillet, une tornade de catégorie F3 a frappé la Première Nation de Kawacatoose, près de la ville de Raymond, à environ 17 h 30 HNC. La tornade a produit des vents atteignant jusqu’à 330 km/h et a tout détruit sur son passage, sur une distance de 45 kilomètres de long et 500 mètres de large. La tornade a détruit 18 maisons dans la petite collectivité autochtone. On a reporté aucun décès ni aucune personne blessée, mais 85 personnes se sont retrouvées sans domicile à la suite de la tornade.	0	0	85	13239000.0000	681836.9	02/07/2010 12:00:00 AM	12881000.0000				358000.0000			0	0.0	
Désastre	Naturel	Météorologique - hydrologique	Tornade	Midland (ON)	23/06/2010 12:00:00 AM	Midland ON, le 23 juin 2010. Deux tornades ont frappé la région de villégiature de l’Ontario. Une tornade de catégorie F2 accompagnée de vents atteignant jusqu’à 240 km/h a frappé Midland à 18 h 30 HNE. Une autre tornade de catégorie F1 accompagnée de vents atteignant jusqu’à 170 km/h a frappé Washago à 19 h HNE. À Midland, 50 maisons mobiles ont été détruites, et 20 autres ont été endommagées. Par ailleurs, 100 autres résidences ont été endommagées par la tornade de catégorie F2, qui a également déraciné des arbres et abattu des poteaux électriques. Il a été signalé que 20 personnes blessées ont été envoyées à l’hôpital. La province de l’Ontario a immédiatement offert une aide financière d’un montant pouvant atteindre 1 million de dollars pour faciliter le nettoyage et les réparations.	0	20	0	17000000.0000	875536.5	23/06/2010 12:00:00 AM			1000000.0000			16000000.0000		0	0.0	
Désastre	Naturel	Géologique	Tremblement de terre	Val-des-Bois et Gracefield (QC)	23/06/2010 12:00:00 AM	Val-des-Bois et Gracefield (QC), le 23 juin 2010. À 13 h 41 HAE, un séisme de magnitude 5,0 s’est produit près de Val-des-Bois. Les effets de ce tremblement de terre ont été principalement ressentis en Ontario et au Québec, bien que certaines faibles secousses sismiques ont été observées aux États-Unis, aussi loin qu’au Kentucky. Le séisme a entraîné la plus importante secousse ressentie à Ottawa depuis plus de 200 ans. L’épicentre se trouvait à 22 kilomètres de profondeur, et le tremblement de terre a duré entre 20 et 30 secondes. Le tremblement de terre a causé d’importants dommages à des routes du Québec, y compris l’effondrement d’un pont sur l’autoroute 307 près de Bowman et la fermeture d’un pont sur l’autoroute 105 à Gracefield. Deux glissements de terrain se sont également produits au Québec à la suite du séisme, ainsi que des dommages occasionnés aux édifices commerciaux et résidentiels. Environ 300 foyers situés à proximité de l’épicentre ont subi une coupure de courant pendant près d’une heure. Un état d’urgence a été déclaré à Gracefield, mais il a été levé le 26 juin.	0	0	0	0.0000	0.0	23/06/2010 12:00:00 AM								900	5.0	
Désastre	Naturel	Météorologique - hydrologique	Feu de forêt	Cranberry Portage (MB)	23/06/2010 12:00:00 AM	Cranberry Portage MB, du 23 juin au 6 juillet 2010. Un feu de forêt brûlant à 13 kilomètres à l’est de Cranberry Portage a entraîné l’adoption d’ordres d’évacuation volontaires et obligatoires. Les résidents de Cranberry Portage ont reçu l’avis d’évacuation le 23 juin en raison de la fumée provenant des flammes qui se rapprochaient. Les terrains de camping Iskwasum et Gyles situés dans le parc provincial Grass River ont reçu un ordre d’évacuation obligatoire. La route entre Cranberry Portage et Sherridon a été temporairement fermée à toute circulation hormis les résidents en raison des inquiétudes relatives à la visibilité. Le 24 juin, environ 200 personnes ont été volontairement évacuées de Cranberry Portage alors que l’incendie augmentait en intensité. L’incendie a atteint la taille maximale d’environ 55 000 hectares. Au plus fort de l’incendie, on dénombrait 440 pompiers, 13 hélicoptères et 13 bombardiers d’eau luttant contre les flammes. Le 6 juillet, les restrictions concernant les déplacements à proximité de Cranberry Portage ont été levées.	0	0	200	9572104.0000	492983.9	06/07/2010 12:00:00 AM	9572104.0000							0	0.0	
Désastre	Naturel	Météorologique - hydrologique	Inondation	Région sud de l'Alberta et la Saskatchewan	17/06/2010 12:00:00 AM	Région sud de l’Alberta et Saskatchewan, 17 juin 2010. Les pluies record qui se sont abattues sur l’Alberta et la Saskatchewan ont occasionné de vastes inondations, interdit à la circulation un tronçon de l’autoroute transcanadienne et obligé à fermer une partie des voies ferrées du Canadien Pacifique. Quarante personnes de la Blood Tribe, 75 foyers à Maple Creek et 600 ménages à Medicine Hat ont dû être évacués. Une aide financière d’urgence a été fournie par chacune des deux provinces.	0	0	2065	1031670000.0000	53133218.9	17/06/2010 12:00:00 AM	75320000.0000		206350000.0000		750000000.0000			0	0.0	
Désastre	Naturel	Météorologique - hydrologique	Tornade	Leamington (ON)	06/06/2010 12:00:00 AM	Leamington ON, le 6 juin 2010. Une tornade de catégorie F1 a touché terre à Leamington, poussant les représentants officiels de la ville à décréter l’état d’urgence local. La petite collectivité située dans le Sud du comté d’Essex a été touchée par une tornade de catégorie F1 ainsi que par une suite de vents violents baptisés « rafales descendantes » au petit matin du 6 juin. La tornade de catégorie F1 a généré des vents soufflant jusqu’à 180 km/h. Ces vents ont détruit environ 12 maisons, abattu des lignes électriques et déraciné des arbres. Environ 4 500 clients d’Hydro One ont été privés d’électricité. La Croix-Rouge canadienne a prêté son concours aux efforts d’intervention en fournissant un refuge d’urgence. On n’a signalé aucun blessé ni aucune personne décédée.	0	0	0	100000.0000	5150.2	06/06/2010 12:00:00 AM			100000.0000					13500	0.0	
Désastre	Naturel	Météorologique - hydrologique	Inondation	Winnipeg (MB)	28/05/2010 12:00:00 AM	Winnipeg (MB), 28 au 30 mai 2010. De fortes pluies se sont, pendant une semaine, abattues sur Winnipeg causant d’importantes inondations dans la région environnante. Six cent dix-neuf des 180,000 propriétés résidentielles de Winnipeg ont été portées sinistrées, don’t 420 pour cause d’inondation du site et 199 pour cause de refoulement d’égouts. La province a accordé une aide financière d’urgence pour ce sinistre ainsi que pour d’autres qui se sont produits au cours du printemps et de l’été.	0	0	0	7731772.0000	398202.8	30/05/2010 12:00:00 AM	6021772.0000		1710000.0000					0	0.0	
Désastre	Naturel	Météorologique - hydrologique	Feu de forêt	Chapleau (ON)	27/05/2010 12:00:00 AM	Chapleau (ON), 27 mai 2010. Un feu de forêt qui a démarré dans la région de Chapleau, près de Wawa, a brulé quelque 22 poteaux électriques et infligé une panne de courant à environ 2 000 résidents locaux.	0	0	0	0.0000	0.0	27/05/2010 12:00:00 AM								2000	0.0	
Désastre	Naturel	Météorologique - hydrologique	Feu de forêt	Réserve Wemotaci et La Tuque (QC)	23/05/2010 12:00:00 AM	Réserve Wemotaci et La Tuque (QC), 23 mai 2010. Un feu répandu sur 39 hectares a forcé l’évacuation de 1 300 résidents de la réserve Wemotaci. Ce n’est que l’un des plus de 50 feux qui ont ravagé la province pendant des semaines produisant de grandes quantités de fumée qui ont déclenché des alertes au smog à Montréal, Vaudreuil, Soulangeset Huntingdon, dans la vallée du Richelieu,à St Hyacinthe, Lachute, St Jérome et Lanaudière, en Mauricie, à Drummondville et dans les Bois-Franc.	0	0	1300	0.0000	0.0	23/05/2010 12:00:00 AM								0	0.0	
Désastre	Naturel	Météorologique - hydrologique	Feu de forêt	Le comté de Thorhild (AB)	12/05/2010 12:00:00 AM	Comté de Thorhild (AB), le 12 mai 2010. Un incendie de forêt dans le comté de Thorhild, au nord d’Edmonton, a ravagé des milliers d’acres de terre. De nombreux ordres d’évacuation ont été donnés à la collectivité d'Opal, don’t un visait jusqu’à 100 résidences le 17 mai. La province de l’Alberta a versé 10 millions de dollars dans le cadre du Municipal Wildfire Assistance Program (programme municipal d’aide en cas d’incendie) pour aider la collectivité à se rétablir.	0	0	300	10000000.0000	515021.5	12/05/2010 12:00:00 AM			10000000.0000					0	0.0	
Désastre	Naturel	Biologique	Épidémie	Hôpital de Glengarry, Victoria (C.-B.)	06/04/2010 12:00:00 AM	Hôpital Glengarry, Victoria (C.-B.), 6 avril 2010. Une épidémie de norovirus qui s’est déclarée à Chandler le 6 avril 2910 a touché 39 résidents. Une épidémie de troubles respiratoires s’est d’abord déclarée le 22 avril après qu’un accroissement du nombre de cas et de nombreux décès soit survenu à l’unité de Chandler. Le 20 avril, deux résidents de l’unité de Fairfield se sont révélés atteints de troubles respiratoires. Aucun nouveau cas de troubles respiratoires n’a été enregistré à l’unité de Fairfield depuis le 29 avril. Au total, 21 résidents de l’Hôpital Glengarry (19 à l’unité de Chandler et 2 à l’unité de Fairfield) ont été atteints de troubles respiratoires. De ce nombre, 10 sont morts (9 à Chandler et 1 à Fairfield). Trois membres du personnel ont également souffert de symptômes respiratoires.	10	21	0	0.0000	0.0	06/04/2010 12:00:00 AM								0	0.0	
Désastre	Naturel	Météorologique - hydrologique	Onde de tempête	Baie-Verte et Port Elgin (N.-B.)	02/01/2010 12:00:00 AM	Baie-Verte (N.-B.),  2-3 janvier 2010. Bien qu’il n’y ait pas de jauge dans la région de Baie-Verte / Port Elgin, Environnent Canada a rapporté que, sur la foi de la jauge qui se trouve à Pointe du Chêne, la crue à cet endroit aurait duré environ 2 heures et aurait été supérieure aux cinq pieds enregistrés à Pointe du Chêne à cause des vents qui se sont levés ultérieurement dans la tempête.	0	0	0	627673.0000	32326.5	03/01/2010 12:00:00 AM			337716.0000	145954.0000		144003.0000		0	0.0	
Désastre	Naturel	Météorologique - hydrologique	Inondation	Duncan et North Cowichan (île de Vancouver) (C.-B.)	20/11/2009 12:00:00 AM	Duncan et North Cowichan (île de Vancouver) (C.-B.), 20 novembre 2009. Des inondations causées par des pluies abondantes et des marées hautes ont entraîné la destruction de 50 maisons et l’évacuation de total d'environ 300 foyers (900 personnes). La tempête a également causé des pannes électriques touchant des milliers de foyers sur l’île de Vancouver, dans la vallée du Fraser et les terres intérieures de la Colombie Britannique.			900	0.0000	0.0	20/11/2009 12:00:00 AM										
Désastre	Naturel	Météorologique - hydrologique	Orages et orages graves	Nouvelle-Écosse et Nouveau-Brunswick	25/10/2009 12:00:00 AM	Nouvelle-Écosse et Nouveau-Brunswick, 25 au 28 octobre 2009. Le Nouveau Brunswick fut une fois de plus victime de pluies abondantes pendant la dernière semaine du mois d'octobre. Plus de 6 000 foyers (18 000 personnes) ont été privés de courant au Nouveau Brunswick, et environ 2 000 foyers (6 000 personnes) en Nouvelle Écosse. Quelques résidents de Moncton ont subi un autre refoulement d'égouts, après que de forts vents eurent arraché les feuilles des arbres pour les souffler en masse dans les bassins de rétention. À Saint Jean, les 116 mm de pluie ont inondé plusieurs rues et résidences. Les pompiers ont été appelés à plus de 30 reprises par des résidents don’t le sous sol était inondé de plus d'un mètre d'eau d'égout. Les pluies d'octobre ont totalisé 245,4 mm à Saint Jean, à peine 2 mm de moins que le record remontant à 1977.	0	0	0	0.0000	0.0	28/10/2009 12:00:00 AM								24000	0.0	
Désastre	Naturel	Météorologique - hydrologique	Ouragan / ouragan / tempête tropicale	Halifax (N.-E.)	23/08/2009 12:00:00 AM	Halifax (N.-E.), 23 août, 2009. L'ouragan Bill a déversé entre 60 et 70 mm de pluie avec des bourrasques de 87 km/h. Une bouée marine au large de la Nouvelle-Écosse a enregistré des vents de 130 km/h, tandis qu'une autre bouée à environ 200 kilometres au sud-est de Yarmouth a enregistré une hauteur de vague maximum de 26,4 m. Les averses constantes de Bill et les vents violents ont arrosé tout ce qui était à vue et privé d'électricité 40 000 habitants. Plus d'une douzaine de vols à partir de l'aéroport international de Halifax ont dû être annulés et les services de traversier ont été suspendus entre la Nouvelle-Écosse et Terre-Neuve. À Terre-Neuve-et-Labrador, la tempète a emporté des routes et provoqué des inondations localisées.	0	0	0	0.0000	0.0	23/08/2009 12:00:00 AM								40000	0.0	
Désastre	Naturel	Météorologique - hydrologique	Tornade	Toronto, Windsor, Vaughan et Newmarket (ON)	20/08/2009 12:00:00 AM	Toronto, Windsor, Vaughan et Newmarket (ON), le 20 août 2009. Une tempête supercellulaire s’est formée juste au Sud du lac Huron et s’est déplacée vers le nord-est, couvrant la distance spectaculaire de 200 km. La chaleur et l’humidité ont augmenté en Ontario lorsque les nuages se sont dissipés. Une ligne de grains s’est formée au-dessus du bas du Michigan et a traversé les Grands Lacs pour atteindre l’Ontario à 15 h HAE. Ce système a généré des vents violents de Windsor jusqu’au Nord-Est de Toronto, ainsi que des tornades destructrices à Vaughan et à Newmarket. Pendant que ces tornades causaient des ravages juste au Nord de Toronto, une autre série d’orages supercellulaires engendrait des tornades dans certains endroits du comté de Simcoe et dans les districts de Muskoka et de Parry Sound, à l’est de la baie Géorgienne et au nord en direction du lac Nipissing. Au total, les conditions météorologiques de la journée ont entraîné 19 tornades confirmées, don’t quatre de catégorie F0, 11 de catégorie F1 et quatre de catégorie F2. Il s’agit du plus grand nombre de tornades de catégorie F2 à avoir frappé l’Ontario en une seule journée depuis les tornades qui sont abattues sur la région de Barrie et sur le centre de l’Ontario le 31 mai 1985. Il s’agit aussi du nouveau record canadien du plus grand nombre de tornades confirmées en une seule journée. Les vents violents ont brisé des arbres en deux, soufflé des toits, aplati des automobiles, couché des clôtures, causé l’effondrement de bâtiments agricoles et engendré des pertes matérielles s’élevant à environ 100 millions de dollars. La première tornade de la journée a touché terre à Durham, dans le comté de Grey, et a causé la mort d’un jeune garçon qui quittait le camp de jour d’une aire de conservation. Près de 600 logements ont été endommagés, principalement dans les collectivités de Maple et de Woodbridge. Quarante foyers ont été démolis et déclarés dangereux. De fortes inondations ont touché les rives du lac. Hydro One a annoncé qu’au plus fort de la tempête, 69 000 de ses clients (soit environ 207 000 personnes) avaient été privés d’électricité.	1	0	0	0.0000	0.0	20/08/2009 12:00:00 AM								207000	0.0	
Désastre	Naturel	Météorologique - hydrologique	Orages et orages graves	Winipeg et Steinbach (MB)	14/08/2009 12:00:00 AM	Winipeg et Steinbach (MB), 14 août 2009. De puissants orages, des éclairs spectaculaires et des grêlons de la taille d'une balle de baseball ont malmené une vaste superficie du sud du Manitoba de Winnipeg à Steinbach. Plus de 7 000 cas de dommages à des maisons et des véhicules ont été signalés, pour des pertes totalisant entre 50 millions et 75 millions de dollars. L'orage a également privé de courant 4 000 foyers (12,000 personnes).	0	0	0	50000000.0000	2622377.6	14/08/2009 12:00:00 AM						50000000.0000		12000	0.0	
Désastre	Naturel	Météorologique - hydrologique	Tornade	Déléage et Mont-Laurier (QC)	04/08/2009 12:00:00 AM	Déléage et Mont-Laurier (QC), 4 août 2009. La F2 tornade la plus puissante a eu lieu le 4 août, frappant d'abord sur sa trajectoire Déléage, en passant par Aumond, pour finalement s'abattre sur Mont-Laurier dans les Hautes-Laurentides. Elle a emporté des toits, fait tomber des murs, renversé des voitures, brisé des poteaux électriques et fait tomber des lignes électriques, privant du même coup 4 000 abonnés d'électricité. Parmi les 40 maisons endommagées à Mont-Laurier, 28 ont été rendues inhabitables. Miraculeusement, personne n'a été blessé gravement. La tornade a causé environ 6 millions de dollars en pertes assurées. À Mont-Laurier, la tornade s'étendait sur 300 m de largeur, mais sa trajectoire de 40 kilomètre constituait une distance inhabituellement longue pour une tornade au Québec et une forte indication de la sévérité de la tempête. La dernière fois qu'une tornade plus forte a frappé la province, c'était la même journée en 1994 quand une tornade de catégorie F3 a détruit plus de 400 maisons à Aylmer.	0	0	0	6000000.0000	314685.3	04/08/2009 12:00:00 AM						6000000.0000		12000	0.0	
Désastre	Naturel	Météorologique - hydrologique	Orages et orages graves	Sud de l'Alberta	01/08/2009 12:00:00 AM	Sud de l’Alberta, du 1er au 3 août 2009. Un front froid a fait irruption dans le Sud de l’Alberta le 1er août, accompagné de vents violents atteignant jusqu’à 100 km/h. Les vents violents ont causé l’effondrement d’une scène lors des festivités du Big Valley Jamboree à Camrose, provoquant le décès d’une personne et en blessant 75 autres. À Calgary, des vents violents ont soufflé jusqu’à 78 km/h. Les vents violents ont entraîné le décès d’un jeune enfant et en ont blessé deux autres. Ce sont des débris d’un site de travaux qui ont heurté ces enfants. Les 2 et 3 août, une violente tempête s’est formée et a aggravé la violence des vents. Les rafales ont soufflé jusqu’à 107 km/h et étaient accompagnées de gros grêlons et de fortes pluies. Les vents violents ont abattu des arbres et des lignes électriques, privant d’électricité un nombre indéterminé de personnes. Dans certaines parties de l’Alberta, le diamètre des grêlons atteignait 10 cm. Certains grêlons étaient aussi gros qu’une balle de baseball. La grêle a provoqué des dommages importants aux résidences et aux véhicules.	2	77	0	0.0000	0.0	03/08/2009 12:00:00 AM								10000	0.0	
Désastre	Naturel	Météorologique - hydrologique	Épisode de chaleur	Vancouver et Fraser (C.-B.)	27/07/2009 12:00:00 AM	Vancouver et Fraser (C.-B.), du 27 juillet au 3 août 2009. Au cours d’une période de huit jours s’échelonnant du 27 juillet au 3 août, des températures atteignant 34,4 degrés centigrades ont été enregistrées à l’aéroport international de Vancouver. Selon les autorités sanitaires du Fraser et de Vancouver, par le passé, le nombre moyen de décès pour la période de huit jours s’échelonnant du 27 juillet au 3 août s’élevait à 321. En 2009, au cours de cette même période, 455 décès ont été enregistrés. On estime que la chaleur a largement contribué au nombre anormalement élevé de décès.	455			0.0000	0.0	03/08/2009 12:00:00 AM									0.0	
Désastre	Naturel	Météorologique - hydrologique	Orages et orages graves	Hamilton et Toronto (ON)	26/07/2009 12:00:00 AM	Hamilton et Toronto, 26 Juillet, 2009. Une cellule orageuse se déplaçait très lentement sur l'extrémité ouest du lac Ontario. Hamilton a été durement touchée. Les vagues provoquées par les orages ont pilonné la ville, laissant les citoyens avec des sous-sols inondés et les automobilistes coincés dans des embouteillages provoqués par les fermetures de routes. L'averse du milieu de la journée a transformé Red Hill Creek en un torrent brun furieux qui a forcé la fermeture des routes et des autoroutes avoisinantes. L'eau s'est infiltrée dans 7 000 sous-sols et des milliers de clients ont été privés d'électricité. Bien que l'aéroport de Hamilton n'ait enregistré que 28 mm de pluie, les estimations radar ont confirmé des quantités de pluie (jauge non officielle) totalisant 110 mm en deux heures - pire encore qu'il y a 100 ans et l'une des averses de courte durée les plus intenses enregistrée au Canada. Les conditions se sont aggravées parce que le sol était des plus détrempés à la suite des orages qui s'étaient  abattus deux jours auparavant. À Toronto, des portions du boulevard Lakeshore, près des terrains de la Place de l'Exposition, ont été submergées. Au nord, une paire de gouffres géants ont avalé une partie de l'avenue Finch Ouest - assez grands pour contenir une flotte de voitures et assez profonds pour engloutir un immeuble de quatre étages.	0	0	0	0.0000	0.0	26/07/2009 12:00:00 AM								0	0.0	
Désastre	Naturel	Météorologique - hydrologique	Orages et orages graves	Edmonton (AB)	18/07/2009 12:00:00 AM	Edmonton (AB), le 18 juillet 2009. La combinaison d’un front froid et d’air chaud a créé de violentes cellules orageuses dans la région d’Edmonton. Les tempêtes se sont abattues sur la ville d’Edmonton ainsi que sur les comtés de Lamont et Strathcona. Ces tempêtes ont généré d’importants éclairs, une forte pluie, de la grêle et des vents violents soufflant jusqu’à 110 km/h. Les vents violents ont abattu des arbres et des lignes électriques, privant d’électricité un nombre indéterminé de personnes. Les vents violents ont arraché l’auvent de la tour CN d’Edmonton, endommageant la tour et les véhicules garés en dessous. De plus, la foudre a provoqué divers incendies un peu partout en ville.	0	0	0	4500000.0000	236014.0	18/07/2009 12:00:00 AM	400000.0000	4100000.0000						0	0.0	
Désastre	Naturel	Météorologique - hydrologique	Inondation	Notre-Dame-des-Prairies (QC)	28/06/2009 12:00:00 AM	Notre-Dame-des-Prairies (QC), 28 juin au 4 juillet 2009. Un système de basse pression quasi stationnaire s'est installé sur l'est de lOntario et le Québec. Des pluies totalisant 140 mm ont endommagé des routes et des ponts, et inondé des sous sols. Charlevoix, la Mauricie et le secteur de Parent ont été les régions les plus durement touchées. Les eaux de crue ont inondé 50 maisons à Notre Dame des Prairies le 1er juillet, causé leffondrement d'une rue à  Entrelacs à  la suite du débordement d'un ruisseau. La pluie a gonflé des niveaux record le débit de plusieurs cours d'eau.	0	0	0	0.0000	0.0	04/07/2009 12:00:00 AM								0	0.0	
Désastre	Naturel	Météorologique - hydrologique	Tempête-non précisée/autre	Montreal, Alma, La Tuque et Baie-Saint-Paul (QC)	14/05/2009 12:00:00 AM	Montréal, Alma, La Tuque et Baie-Saint-Paul, QC, le 14 mai 2009. Des rafales jusqu'à 100 km / h ont fait des ravages à travers le Québec le 14 mai. Un véhicule de 18-roues était l'un des six remorques-tracteurs Côté près de Beloeil. Des vents forts réduisent l'électricité à 70 000 personnes en abaissant les lignes hydroélectriques. Les vents ont également infligé des dommages matériels importants: à Ste-Julie, les vents ont déraciné des centaines d'arbres et jeté un gazebo et un trampoline dans l'air où il restait suspendu aux lignes électriques; À Alma, les arbres tombés traversaient les lignes électriques, allumèrent un feu de brosse; Dans la région de La Tuque, les vents soufflaient les bardeaux d'un toit de l'hôtel et laissaient tomber une rue sur une maison; Et à Baie-Saint-Paul, les vents enfonçaient les pôles hydroélectriques en deux et déchiraient les toits.	0	0	0	0.0000	0.0	14/05/2009 12:00:00 AM								70000	0.0	
Désastre	Naturel	Météorologique - hydrologique	Inondation	Rock Creek et Henderson Corner (YT)	01/05/2009 12:00:00 AM	Rock Creek et Henderson Corner (YT), 1 mai 2009. Des inondations entre le 1er et le 3 mai ont affecté les basses terres des secteurs non constitués en municipalité de Rock Creek et Henderson Corner, dans la vallée de la rivière Klondike, ce qui a entraîné l’évacuation de 28 personnes et causé des dommages à la propriété privée et à des infrastructures publiques telles que des routes et des installations récréatives.	0	0	28	459130.0000	24080.2	01/05/2009 12:00:00 AM	59130.0000	400000.0000						0	0.0	
